snippet,keywords,news_desk,headline,pub_date,negative,positive,sentiment_score
"Thirty years ago, a woman got a $250-a-month, rent-stabilized apartment in Inwood. She says the neighborhood has defined not only her life but her life’s work.","[{'name': 'glocations', 'value': 'Inwood (Manhattan, NY)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Real Estate and Housing (Residential)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Renting and Leasing (Real Estate)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Rent Control and Stabilization', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Personal Profile', 'rank': 5, 'major': 'N'}]",RealEstate,"{'main': 'The Benefits of Living in the Same Place for a Long Time', 'kicker': 'renters', 'content_kicker': None, 'print_headline': 'She’s Been Around a While, and She’s Moved Up', 'name': None, 'seo': None, 'sub': None}",2024-04-01T09:02:12+0000,0.0008134259260259569,0.9991865754127502,0.9983731494867243
"This 16-year-old from Austin, Texas, plays New Wave and post-punk hits with his brother and dog beside him. This week, his first EP, “Texas Madness,” comes out.","[{'name': 'subject', 'value': 'Pop and Rock Music', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Personal Profile', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Disabilities', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Faulkner, Noah (Pedal Steel Noah)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Autism', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'audio-neutral-immersive', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'audio-positive-happy', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'audio-positive-escape', 'rank': 9, 'major': 'N'}]",Culture,"{'main': 'Pedal Steel Noah’s Covers Charm Fans Online. Up Next: His Own Songs.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Just Like Country Heaven', 'name': None, 'seo': None, 'sub': None}",2024-04-01T09:02:26+0000,0.002283659065142274,0.9977163076400757,0.9954326485749334
"Abyssinian Baptist Church in Harlem and one of its most well-known members have been ensnared in a seven-year saga, after a deacon hired to renovate another member’s house didn’t finish the job.","[{'name': 'subject', 'value': 'Home Repairs and Improvements', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Real Estate and Housing (Residential)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Frauds and Swindling', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Suits and Litigation (Civil)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Baptist Churches', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'ABYSSINIAN BAPTIST CHURCH', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Yeiser, Jerome', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Butts, Calvin O III', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'Harlem (Manhattan, NY)', 'rank': 9, 'major': 'N'}]",RealEstate,"{'main': 'How the Renovation of a House Rocked a Famous Church', 'kicker': None, 'content_kicker': None, 'print_headline': 'A Home Renovation Rocks a Famous Church', 'name': None, 'seo': None, 'sub': None}",2024-04-01T09:02:39+0000,0.9978330731391907,0.0021669527050107718,-0.9956661204341799
"As the second company of Alvin Ailey American Dance Theater has evolved, it has trained dancers and choreographers for tenacity as much as technique.","[{'name': 'subject', 'value': 'Dancing', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Ailey II', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Ailey, Alvin, American Dance Theater', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Harper, Francesca', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Harlem (Manhattan, NY)', 'rank': 5, 'major': 'N'}]",Arts&Leisure,"{'main': 'For 50 Years Ailey II Has Been a Proving Ground, Not Just for Dance', 'kicker': None, 'content_kicker': None, 'print_headline': 'A Proving Ground Always in Motion', 'name': None, 'seo': None, 'sub': None}",2024-04-01T09:03:15+0000,0.0006312786717899144,0.9993687272071838,0.9987374485353939
"A new musical aims to restore the reputation, in life and art, of the ambitious yet undervalued painter Tamara de Lempicka.","[{'name': 'subject', 'value': 'Theater (Broadway)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Theater', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'Lempicka (Play)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Chavkin, Rachel', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Espinosa, Eden', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Kreitzer, Carson', 'rank': 6, 'major': 'N'}]",Arts&Leisure,"{'main': 'Madonna and Barbra Are Fans. Broadway, Meet Lempicka.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Behind the Image, An Artist of Depth', 'name': None, 'seo': None, 'sub': None}",2024-04-01T09:03:41+0000,0.00040446376078762114,0.999595582485199,0.9991911187244114
"Vera Drew used the Batman villain to tell a trans coming-of-age story. When Warner Bros. found out, the filmmaker wasn’t sure what would come next.","[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Copyrights and Copyright Violations', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'Joker (Movie)', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': ""The People's Joker (Movie)"", 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Drew, Vera (1989- )', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Transgender', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Warner Bros Discovery', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Comic Books and Strips', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Batman (Fictional Character)', 'rank': 9, 'major': 'N'}]",Culture,"{'main': '‘The People’s Joker’ and the Perils of Playing With a Studio’s Copyright', 'kicker': None, 'content_kicker': None, 'print_headline': 'Perils of Playing With a Studio’s Copyright', 'name': None, 'seo': None, 'sub': None}",2024-04-01T09:04:00+0000,0.9950992465019226,0.004900799598544836,-0.9901984469033778
"The Supreme Court will soon decide whether to hear an appeal in her case, which, as one judge put it, “focused from start to finish on Ms. Andrew’s sex life.”","[{'name': 'persons', 'value': 'Andrew, Brenda (1963- )', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Capital Punishment', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Murders, Attempted Murders and Homicides', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Supreme Court (US)', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Oklahoma', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Women and Girls', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Gender', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Courts and the Judiciary', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Pavatt, James (1953- )', 'rank': 9, 'major': 'N'}]",Washington,"{'main': 'Did Prosecutors’ Sex Shaming Help Send Brenda Andrew to Death Row?', 'kicker': 'Sidebar', 'content_kicker': None, 'print_headline': 'When Sex Shaming Might Have Led To a Death Sentence', 'name': None, 'seo': None, 'sub': None}",2024-04-01T09:04:19+0000,0.35305556654930115,0.6469444632530212,0.2938888967037201
Tony Thornton looks ahead to years of crowded tunnels and highways with the loss of the Francis Scott Key Bridge.,"[{'name': 'subject', 'value': 'Bridges and Tunnels', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Accidents and Safety', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Traffic Accidents and Safety', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Hazardous and Toxic Substances', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Delays (Transportation)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Trucks and Trucking', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Roads and Traffic', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Ports', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Maryland Department of Transportation', 'rank': 9, 'major': 'N'}, {'name': 'glocations', 'value': 'Baltimore (Md)', 'rank': 10, 'major': 'N'}, {'name': 'glocations', 'value': 'Francis Scott Key Bridge (Baltimore, Md)', 'rank': 11, 'major': 'N'}, {'name': 'glocations', 'value': 'Interstate 95', 'rank': 12, 'major': 'N'}, {'name': 'glocations', 'value': 'Maryland', 'rank': 13, 'major': 'N'}, {'name': 'glocations', 'value': 'New Jersey', 'rank': 14, 'major': 'N'}, {'name': 'glocations', 'value': 'Philadelphia (Pa)', 'rank': 15, 'major': 'N'}]",National,"{'main': '‘Plan Ahead’: Baltimore Traffic Reporter on Congestion After Bridge Collapse', 'kicker': None, 'content_kicker': None, 'print_headline': '‘Plan Ahead’: Traffic Reporter on Congestion After Key’s Collapse', 'name': None, 'seo': None, 'sub': None}",2024-04-01T09:04:27+0000,0.9782091379165649,0.021790919825434685,-0.9564182180911303
"The victims, the history, the void. Residents reflect on their collective pain, and the city’s strength.","[{'name': 'subject', 'value': 'Foreign Workers', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Monuments and Memorials (Structures)', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'United States Coast Guard', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Lippman, Laura', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Baltimore (Md)', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Baltimore County (Md)', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'Francis Scott Key Bridge (Baltimore, Md)', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Maryland', 'rank': 8, 'major': 'N'}]",National,"{'main': 'What the Bridge Meant to Baltimore', 'kicker': None, 'content_kicker': None, 'print_headline': 'More Than Many Realized, the Bridge Connected All of Baltimore', 'name': None, 'seo': None, 'sub': None}",2024-04-01T09:04:35+0000,0.0015081284800544381,0.9984918832778931,0.9969837547978386
"The latest sequel in the Monsterverse has plenty of destruction, but little concern about the death toll.","[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Godzilla x Kong: The New Empire (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'Godzilla (Movie)', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': 'Godzilla Minus One (Movie)', 'rank': 4, 'major': 'N'}]",Culture,"{'main': 'In ‘Godzilla x Kong,’ They Came. They Pounced. Who Suffers?', 'kicker': 'Critic’s Notebook', 'content_kicker': None, 'print_headline': 'Lots of People Get Stomped, But They’re Beside the Point', 'name': None, 'seo': None, 'sub': None}",2024-04-01T09:05:00+0000,0.9978954792022705,0.00210452638566494,-0.9957909528166056
"Lin Qi, a billionaire who helped produce the science-fiction hit, was poisoned to death by a disgruntled executive. His attacker now faces the death penalty.","[{'name': 'subject', 'value': 'Television', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Murders, Attempted Murders and Homicides', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Poisoning and Poisons', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Lin Qi (1981-2020)', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Xu Yao (Technology Executive)', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': '3 Body Problem (TV Program)', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Netflix Inc', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Youzu Group (Yoozoo)', 'rank': 9, 'major': 'N'}, {'name': 'persons', 'value': 'Liu Cixin (1963- )', 'rank': 10, 'major': 'N'}, {'name': 'glocations', 'value': 'China', 'rank': 11, 'major': 'N'}]",Foreign,"{'main': 'The Bizarre Chinese Murder Plot Behind Netflix’s ‘3 Body Problem’', 'kicker': None, 'content_kicker': None, 'print_headline': 'Bizarre as a Blockbuster: The Chinese Murder Behind Netflix’s ‘3 Body Problem’', 'name': None, 'seo': None, 'sub': None}",2024-04-01T09:43:52+0000,0.9976746439933777,0.002325305249541998,-0.9953493387438357
"The latest proposal comes from Luca de Meo, the C.E.O. of Renault Group, who is pushing for an Airbus-inspired alliance that would help European automakers fend off competition from cheaper Chinese-made electric vehicles.","[{'name': 'subject', 'value': 'internal-storyline-no', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'China', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Renault SA', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'de Meo, Luca', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Electric and Hybrid Vehicles', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Volkswagen AG', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Mercedes-Benz', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Tesla Motors Inc', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Musk, Elon', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'AIRBUS INDUSTRIE', 'rank': 10, 'major': 'N'}, {'name': 'organizations', 'value': 'Boeing Company', 'rank': 11, 'major': 'N'}, {'name': 'organizations', 'value': 'European Parliament', 'rank': 12, 'major': 'N'}]",Business,"{'main': 'Auto Execs Call for New Measures as E.V. Wars Heat Up', 'kicker': 'DealBook Newsletter', 'content_kicker': None, 'print_headline': 'Auto Executives Call for New Measures in E.V. Wars', 'name': None, 'seo': None, 'sub': None}",2024-04-01T11:22:22+0000,0.00397625844925642,0.9960237741470337,0.9920475156977773
"In a letter to teaching hospitals, the federal health agency said that institutions could lose Medicare funding if they didn’t comply.","[{'name': 'subject', 'value': 'your-feed-science', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Privacy', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Pelvis', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Doctors', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Hospitals', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Regulation and Deregulation of Industry', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Health and Human Services Department', 'rank': 7, 'major': 'N'}]",Science,"{'main': 'Hospitals Must Get Written Patient Consent for Pelvic Exams, H.H.S. Says', 'kicker': None, 'content_kicker': None, 'print_headline': 'Patients Must Consent to Exams Performed to Aid Trainee Doctors', 'name': None, 'seo': None, 'sub': None}",2024-04-01T12:13:10+0000,0.9917864203453064,0.008213521912693977,-0.9835728984326124
A raft of local election victories by rivals of President Recep Tayyip Erdogan’s governing party could serve as a check on his power.,"[{'name': 'subject', 'value': 'Politics and Government', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elections, Mayors', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Inflation (Economics)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Legislatures and Parliaments', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Erdogan, Recep Tayyip', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Turkey', 'rank': 6, 'major': 'N'}]",Foreign,"{'main': 'Winning City Halls, Turkish Opposition Strikes Blow to Erdogan', 'kicker': None, 'content_kicker': None, 'print_headline': 'Turkish Opposition Wins Key City Halls, Serving as a Check on Erdogan’s Power', 'name': None, 'seo': None, 'sub': None}",2024-04-01T12:18:38+0000,0.3035477101802826,0.696452260017395,0.3929045498371124
